000.txt%.6f, 0.002460, 0.437269, 0.015375, 0.001845, 0.001845, 0.014760, 0.001230, 0.452030, 0.001230, 0.007380, 0.011685, 0.001230, 0.011685, 0.002460, 0.001845, 0.001845, 0.006150, 0.009840, 0.009225, 0.008610
001.txt%.6f, 0.001468, 0.042584, 0.001468, 0.020558, 0.046990, 0.001468, 0.229075, 0.503671, 0.035242, 0.001468, 0.042584, 0.016153, 0.001468, 0.001468, 0.001468, 0.046990, 0.001468, 0.001468, 0.001468, 0.001468
002.txt%.6f, 0.001513, 0.027231, 0.003026, 0.003026, 0.003026, 0.001513, 0.045386, 0.508321, 0.004539, 0.001513, 0.358548, 0.001513, 0.001513, 0.001513, 0.003026, 0.021180, 0.001513, 0.001513, 0.001513, 0.009077
003.txt%.6f, 0.216617, 0.005935, 0.002967, 0.002967, 0.002967, 0.002967, 0.008902, 0.611276, 0.005935, 0.002967, 0.103858, 0.002967, 0.002967, 0.002967, 0.005935, 0.002967, 0.002967, 0.005935, 0.002967, 0.002967
004.txt%.6f, 0.011751, 0.001175, 0.001175, 0.001175, 0.001175, 0.001175, 0.008226, 0.525264, 0.428907, 0.001175, 0.008226, 0.001175, 0.001175, 0.001175, 0.001175, 0.001175, 0.001175, 0.001175, 0.001175, 0.001175
005.txt%.6f, 0.010965, 0.002193, 0.002193, 0.002193, 0.002193, 0.002193, 0.002193, 0.618421, 0.188596, 0.002193, 0.002193, 0.002193, 0.002193, 0.135965, 0.006579, 0.008772, 0.002193, 0.002193, 0.002193, 0.002193
006.txt%.6f, 0.003300, 0.003300, 0.003300, 0.059406, 0.003300, 0.006601, 0.016502, 0.749175, 0.013201, 0.003300, 0.003300, 0.026403, 0.003300, 0.026403, 0.039604, 0.026403, 0.003300, 0.003300, 0.003300, 0.003300
007.txt%.6f, 0.002778, 0.002778, 0.002778, 0.108333, 0.002778, 0.002778, 0.013889, 0.519444, 0.002778, 0.002778, 0.013889, 0.002778, 0.002778, 0.002778, 0.250000, 0.052778, 0.005556, 0.002778, 0.002778, 0.002778
008.txt%.6f, 0.002841, 0.002841, 0.002841, 0.042614, 0.002841, 0.002841, 0.005682, 0.502841, 0.002841, 0.005682, 0.002841, 0.002841, 0.002841, 0.022727, 0.039773, 0.343750, 0.002841, 0.002841, 0.002841, 0.002841
009.txt%.6f, 0.004065, 0.004065, 0.004065, 0.292683, 0.004065, 0.004065, 0.004065, 0.532520, 0.004065, 0.004065, 0.016260, 0.004065, 0.004065, 0.004065, 0.020325, 0.077236, 0.004065, 0.004065, 0.004065, 0.004065
