-377.77174122391614,71
-663.6545597897511,109
-1013.7613983715833,177
-226.53966310476633,42
-1641.9816805519388,285
-3109.637592431562,539
-8523.05153936004,1447
-23588.154508379583,3922
-8350.405632647668,1411
-1011.1456157254232,179
-1044.6608006767158,166
-3167.118962983332,508
-5359.84256910672,895
-6818.545041437572,1111
-7121.810825469647,1183
-8022.677747894331,1341
-7435.588204913765,1220
-6275.297446678462,1081
-5038.350804113456,830
-7522.542515287579,1254
-4508.834586202307,741
-3945.678780221908,644
-3397.216066121037,546
-11390.68119718421,1890
-8762.132777212384,1446
-345.59695223039864,60
-1977.7742481674538,320
-2154.01666766172,348
-8005.0742987503445,1314
-9312.705754726854,1522
-5230.253346282787,841
-474.7751806876499,78
-10890.739820291805,1810
-3173.1521790504457,552
-3452.011414697545,629
-1317.8583551922275,213
-3260.896250929213,550
-5101.558648295334,893
-7739.416159927884,1329
-7353.596727243098,1265
-11270.491190931903,1913
-623.1079711117851,112
-3151.112999606922,502
-33087.15730657163,5583
-308.6436939926444,51
-286.9133661326859,51
-6278.86110498657,1003
-4176.521415633266,687
-4023.4623559378547,653
-294.37035067044275,49
-3619.309107070704,592
-1343.486582562498,219
-1161.7269528163947,201
-143.36274986555736,24
-3561.721289508558,631
-2486.044861089573,425
-11531.559962216288,2003
