003.txt%.6f, 0.000442, 0.248230, 0.115487, 0.035841, 0.119912, 0.124336, 0.013717, 0.000442, 0.009292, 0.018142, 0.022566, 0.022566, 0.088938, 0.000442, 0.071239, 0.000442, 0.009292, 0.000442, 0.071239, 0.026991
002.txt%.6f, 0.000229, 0.068879, 0.084897, 0.002517, 0.087185, 0.176430, 0.217620, 0.043707, 0.032265, 0.011670, 0.013959, 0.025400, 0.002517, 0.043707, 0.036842, 0.011670, 0.007094, 0.002517, 0.096339, 0.034554
000.txt%.6f, 0.005139, 0.059056, 0.034625, 0.011036, 0.043892, 0.072536, 0.005139, 0.019461, 0.002612, 0.048947, 0.086858, 0.025358, 0.025358, 0.075063, 0.138248, 0.146672, 0.000084, 0.105392, 0.088543, 0.005981
001.txt%.6f, 0.022247, 0.154405, 0.072907, 0.004626, 0.055286, 0.026652, 0.068502, 0.207269, 0.044273, 0.020044, 0.009031, 0.024449, 0.037665, 0.002423, 0.119163, 0.011233, 0.017841, 0.002423, 0.035463, 0.064097
005.txt%.6f, 0.000339, 0.071525, 0.047797, 0.041017, 0.024068, 0.078305, 0.003729, 0.007119, 0.017288, 0.000339, 0.000339, 0.108814, 0.000339, 0.020678, 0.041017, 0.030847, 0.213898, 0.000339, 0.041017, 0.251186
004.txt%.6f, 0.000206, 0.049588, 0.055761, 0.000206, 0.004321, 0.109259, 0.000206, 0.026955, 0.010494, 0.004321, 0.024897, 0.014609, 0.000206, 0.008436, 0.047531, 0.000206, 0.245062, 0.000206, 0.142181, 0.255350
006.txt%.6f, 0.162703, 0.081622, 0.060000, 0.205946, 0.022162, 0.103243, 0.011351, 0.049189, 0.043784, 0.000541, 0.011351, 0.070811, 0.103243, 0.000541, 0.038378, 0.000541, 0.016757, 0.000541, 0.016757, 0.000541
007.txt%.6f, 0.026894, 0.057197, 0.193561, 0.292045, 0.060985, 0.064773, 0.019318, 0.015530, 0.072348, 0.007955, 0.004167, 0.026894, 0.000379, 0.000379, 0.019318, 0.000379, 0.000379, 0.000379, 0.087500, 0.049621
009.txt%.6f, 0.062694, 0.036788, 0.155959, 0.280311, 0.078238, 0.005699, 0.031606, 0.000518, 0.057513, 0.010881, 0.016062, 0.104145, 0.005699, 0.000518, 0.000518, 0.000518, 0.000518, 0.000518, 0.078238, 0.073057
008.txt%.6f, 0.049388, 0.016735, 0.033061, 0.041224, 0.086122, 0.041224, 0.008571, 0.033061, 0.375918, 0.000408, 0.000408, 0.106531, 0.049388, 0.000408, 0.016735, 0.000408, 0.012653, 0.000408, 0.086122, 0.041224
